x,y,z
-4.0000,-4.0000,6.7975
-4.0000,-3.8644,6.7437
-4.0000,-3.7288,6.6916
-4.0000,-3.5932,6.6412
-4.0000,-3.4576,6.5924
-4.0000,-3.3220,6.5453
-4.0000,-3.1864,6.4997
-4.0000,-3.0508,6.4556
-4.0000,-2.9153,6.4128
-4.0000,-2.7797,6.3714
-4.0000,-2.6441,6.3311
-4.0000,-2.5085,6.2918
-4.0000,-2.3729,6.2534
-4.0000,-2.2373,6.2156
-4.0000,-2.1017,6.1783
-4.0000,-1.9661,6.1412
-4.0000,-1.8305,6.1041
-4.0000,-1.6949,6.0667
-4.0000,-1.5593,6.0288
-4.0000,-1.4237,5.9901
-4.0000,-1.2881,5.9504
-4.0000,-1.1525,5.9093
-4.0000,-1.0169,5.8667
-4.0000,-0.8814,5.8224
-4.0000,-0.7458,5.7764
-4.0000,-0.6102,5.7285
-4.0000,-0.4746,5.6788
-4.0000,-0.3390,5.6275
-4.0000,-0.2034,5.5747
-4.0000,-0.0678,5.5208
-4.0000,0.0678,5.4663
-4.0000,0.2034,5.4116
-4.0000,0.3390,5.3576
-4.0000,0.4746,5.3048
-4.0000,0.6102,5.2543
-4.0000,0.7458,5.2069
-4.0000,0.8814,5.1635
-4.0000,1.0169,5.1252
-4.0000,1.1525,5.0929
-4.0000,1.2881,5.0675
-4.0000,1.4237,5.0499
-4.0000,1.5593,5.0407
-4.0000,1.6949,5.0408
-4.0000,1.8305,5.0505
-4.0000,1.9661,5.0701
-4.0000,2.1017,5.0997
-4.0000,2.2373,5.1394
-4.0000,2.3729,5.1889
-4.0000,2.5085,5.2478
-4.0000,2.6441,5.3156
-4.0000,2.7797,5.3916
-4.0000,2.9153,5.4749
-4.0000,3.0508,5.5646
-4.0000,3.1864,5.6600
-4.0000,3.3220,5.7598
-4.0000,3.4576,5.8633
-4.0000,3.5932,5.9694
-4.0000,3.7288,6.0773
-4.0000,3.8644,6.1862
-4.0000,4.0000,6.2953
-3.8644,-4.0000,6.7434
-3.8644,-3.8644,6.6895
-3.8644,-3.7288,6.6373
-3.8644,-3.5932,6.5868
-3.8644,-3.4576,6.5378
-3.8644,-3.3220,6.4905
-3.8644,-3.1864,6.4447
-3.8644,-3.0508,6.4003
-3.8644,-2.9153,6.3573
-3.8644,-2.7797,6.3155
-3.8644,-2.6441,6.2748
-3.8644,-2.5085,6.2350
-3.8644,-2.3729,6.1960
-3.8644,-2.2373,6.1575
-3.8644,-2.1017,6.1193
-3.8644,-1.9661,6.0811
-3.8644,-1.8305,6.0428
-3.8644,-1.6949,6.0039
-3.8644,-1.5593,5.9643
-3.8644,-1.4237,5.9236
-3.8644,-1.2881,5.8815
-3.8644,-1.1525,5.8377
-3.8644,-1.0169,5.7921
-3.8644,-0.8814,5.7444
-3.8644,-0.7458,5.6946
-3.8644,-0.6102,5.6425
-3.8644,-0.4746,5.5882
-3.8644,-0.3390,5.5318
-3.8644,-0.2034,5.4736
-3.8644,-0.0678,5.4140
-3.8644,0.0678,5.3535
-3.8644,0.2034,5.2927
-3.8644,0.3390,5.2323
-3.8644,0.4746,5.1732
-3.8644,0.6102,5.1163
-3.8644,0.7458,5.0626
-3.8644,0.8814,5.0133
-3.8644,1.0169,4.9694
-3.8644,1.1525,4.9319
-3.8644,1.2881,4.9019
-3.8644,1.4237,4.8803
-3.8644,1.5593,4.8679
-3.8644,1.6949,4.8656
-3.8644,1.8305,4.8737
-3.8644,1.9661,4.8926
-3.8644,2.1017,4.9225
-3.8644,2.2373,4.9633
-3.8644,2.3729,5.0149
-3.8644,2.5085,5.0766
-3.8644,2.6441,5.1481
-3.8644,2.7797,5.2283
-3.8644,2.9153,5.3166
-3.8644,3.0508,5.4118
-3.8644,3.1864,5.5130
-3.8644,3.3220,5.6190
-3.8644,3.4576,5.7288
-3.8644,3.5932,5.8414
-3.8644,3.7288,5.9557
-3.8644,3.8644,6.0709
-3.8644,4.0000,6.1862
-3.7288,-4.0000,6.6910
-3.7288,-3.8644,6.6369
-3.7288,-3.7288,6.5846
-3.7288,-3.5932,6.5339
-3.7288,-3.4576,6.4848
-3.7288,-3.3220,6.4373
-3.7288,-3.1864,6.3912
-3.7288,-3.0508,6.3466
-3.7288,-2.9153,6.3032
-3.7288,-2.7797,6.2610
-3.7288,-2.6441,6.2199
-3.7288,-2.5085,6.1795
-3.7288,-2.3729,6.1399
-3.7288,-2.2373,6.1006
-3.7288,-2.1017,6.0615
-3.7288,-1.9661,6.0223
-3.7288,-1.8305,5.9826
-3.7288,-1.6949,5.9423
-3.7288,-1.5593,5.9009
-3.7288,-1.4237,5.8581
-3.7288,-1.2881,5.8136
-3.7288,-1.1525,5.7671
-3.7288,-1.0169,5.7184
-3.7288,-0.8814,5.6672
-3.7288,-0.7458,5.6134
-3.7288,-0.6102,5.5570
-3.7288,-0.4746,5.4980
-3.7288,-0.3390,5.4365
-3.7288,-0.2034,5.3728
